dose_character	treatment	name
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
0	S0000	NA
10	S1001	Navitoclax (ABT-263)
10	S1001	Navitoclax (ABT-263)
10	S1001	Navitoclax (ABT-263)
10	S1001	Navitoclax (ABT-263)
10	S1001	Navitoclax (ABT-263)
10	S1001	Navitoclax (ABT-263)
100	S1001	Navitoclax (ABT-263)
100	S1001	Navitoclax (ABT-263)
100	S1001	Navitoclax (ABT-263)
100	S1001	Navitoclax (ABT-263)
100	S1001	Navitoclax (ABT-263)
100	S1001	Navitoclax (ABT-263)
1000	S1001	Navitoclax (ABT-263)
1000	S1001	Navitoclax (ABT-263)
1000	S1001	Navitoclax (ABT-263)
1000	S1001	Navitoclax (ABT-263)
1000	S1001	Navitoclax (ABT-263)
1000	S1001	Navitoclax (ABT-263)
10000	S1001	Navitoclax (ABT-263)
10000	S1001	Navitoclax (ABT-263)
10000	S1001	Navitoclax (ABT-263)
10000	S1001	Navitoclax (ABT-263)
10000	S1001	Navitoclax (ABT-263)
10000	S1001	Navitoclax (ABT-263)
10	S1002	ABT-737
10	S1002	ABT-737
10	S1002	ABT-737
10	S1002	ABT-737
10	S1002	ABT-737
10	S1002	ABT-737
100	S1002	ABT-737
100	S1002	ABT-737
100	S1002	ABT-737
100	S1002	ABT-737
100	S1002	ABT-737
100	S1002	ABT-737
1000	S1002	ABT-737
1000	S1002	ABT-737
1000	S1002	ABT-737
1000	S1002	ABT-737
1000	S1002	ABT-737
1000	S1002	ABT-737
10000	S1002	ABT-737
10000	S1002	ABT-737
10000	S1002	ABT-737
10000	S1002	ABT-737
10000	S1002	ABT-737
10000	S1002	ABT-737
10	S1003	Linifanib (ABT-869)
10	S1003	Linifanib (ABT-869)
10	S1003	Linifanib (ABT-869)
10	S1003	Linifanib (ABT-869)
10	S1003	Linifanib (ABT-869)
10	S1003	Linifanib (ABT-869)
100	S1003	Linifanib (ABT-869)
100	S1003	Linifanib (ABT-869)
100	S1003	Linifanib (ABT-869)
100	S1003	Linifanib (ABT-869)
100	S1003	Linifanib (ABT-869)
100	S1003	Linifanib (ABT-869)
1000	S1003	Linifanib (ABT-869)
1000	S1003	Linifanib (ABT-869)
1000	S1003	Linifanib (ABT-869)
1000	S1003	Linifanib (ABT-869)
1000	S1003	Linifanib (ABT-869)
1000	S1003	Linifanib (ABT-869)
10000	S1003	Linifanib (ABT-869)
10000	S1003	Linifanib (ABT-869)
10000	S1003	Linifanib (ABT-869)
10000	S1003	Linifanib (ABT-869)
10000	S1003	Linifanib (ABT-869)
10000	S1003	Linifanib (ABT-869)
10	S1004	Veliparib (ABT-888)
10	S1004	Veliparib (ABT-888)
10	S1004	Veliparib (ABT-888)
10	S1004	Veliparib (ABT-888)
10	S1004	Veliparib (ABT-888)
10	S1004	Veliparib (ABT-888)
100	S1004	Veliparib (ABT-888)
100	S1004	Veliparib (ABT-888)
100	S1004	Veliparib (ABT-888)
100	S1004	Veliparib (ABT-888)
100	S1004	Veliparib (ABT-888)
100	S1004	Veliparib (ABT-888)
1000	S1004	Veliparib (ABT-888)
1000	S1004	Veliparib (ABT-888)
1000	S1004	Veliparib (ABT-888)
1000	S1004	Veliparib (ABT-888)
1000	S1004	Veliparib (ABT-888)
1000	S1004	Veliparib (ABT-888)
10000	S1004	Veliparib (ABT-888)
10000	S1004	Veliparib (ABT-888)
10000	S1004	Veliparib (ABT-888)
10000	S1004	Veliparib (ABT-888)
10000	S1004	Veliparib (ABT-888)
10000	S1004	Veliparib (ABT-888)
10	S1007	Roxadustat (FG-4592)
10	S1007	Roxadustat (FG-4592)
10	S1007	Roxadustat (FG-4592)
10	S1007	Roxadustat (FG-4592)
10	S1007	Roxadustat (FG-4592)
10	S1007	Roxadustat (FG-4592)
10	S1007	Roxadustat (FG-4592)
10	S1007	Roxadustat (FG-4592)
100	S1007	Roxadustat (FG-4592)
100	S1007	Roxadustat (FG-4592)
100	S1007	Roxadustat (FG-4592)
100	S1007	Roxadustat (FG-4592)
100	S1007	Roxadustat (FG-4592)
100	S1007	Roxadustat (FG-4592)
100	S1007	Roxadustat (FG-4592)
100	S1007	Roxadustat (FG-4592)
1000	S1007	Roxadustat (FG-4592)
1000	S1007	Roxadustat (FG-4592)
1000	S1007	Roxadustat (FG-4592)
1000	S1007	Roxadustat (FG-4592)
1000	S1007	Roxadustat (FG-4592)
1000	S1007	Roxadustat (FG-4592)
1000	S1007	Roxadustat (FG-4592)
1000	S1007	Roxadustat (FG-4592)
10000	S1007	Roxadustat (FG-4592)
10000	S1007	Roxadustat (FG-4592)
10000	S1007	Roxadustat (FG-4592)
10000	S1007	Roxadustat (FG-4592)
10000	S1007	Roxadustat (FG-4592)
10000	S1007	Roxadustat (FG-4592)
10000	S1007	Roxadustat (FG-4592)
10000	S1007	Roxadustat (FG-4592)
10	S1010	Nintedanib (BIBF 1120)
10	S1010	Nintedanib (BIBF 1120)
10	S1010	Nintedanib (BIBF 1120)
10	S1010	Nintedanib (BIBF 1120)
10	S1010	Nintedanib (BIBF 1120)
10	S1010	Nintedanib (BIBF 1120)
100	S1010	Nintedanib (BIBF 1120)
100	S1010	Nintedanib (BIBF 1120)
100	S1010	Nintedanib (BIBF 1120)
100	S1010	Nintedanib (BIBF 1120)
100	S1010	Nintedanib (BIBF 1120)
100	S1010	Nintedanib (BIBF 1120)
1000	S1010	Nintedanib (BIBF 1120)
1000	S1010	Nintedanib (BIBF 1120)
1000	S1010	Nintedanib (BIBF 1120)
1000	S1010	Nintedanib (BIBF 1120)
1000	S1010	Nintedanib (BIBF 1120)
1000	S1010	Nintedanib (BIBF 1120)
10000	S1010	Nintedanib (BIBF 1120)
10000	S1010	Nintedanib (BIBF 1120)
10000	S1010	Nintedanib (BIBF 1120)
10000	S1010	Nintedanib (BIBF 1120)
10000	S1010	Nintedanib (BIBF 1120)
10000	S1010	Nintedanib (BIBF 1120)
10	S1012	BMS-536924
10	S1012	BMS-536924
10	S1012	BMS-536924
10	S1012	BMS-536924
10	S1012	BMS-536924
10	S1012	BMS-536924
100	S1012	BMS-536924
100	S1012	BMS-536924
100	S1012	BMS-536924
100	S1012	BMS-536924
100	S1012	BMS-536924
100	S1012	BMS-536924
1000	S1012	BMS-536924
1000	S1012	BMS-536924
1000	S1012	BMS-536924
1000	S1012	BMS-536924
1000	S1012	BMS-536924
1000	S1012	BMS-536924
10000	S1012	BMS-536924
10000	S1012	BMS-536924
10000	S1012	BMS-536924
10000	S1012	BMS-536924
10000	S1012	BMS-536924
10000	S1012	BMS-536924
10	S1014	Bosutinib (SKI-606)
10	S1014	Bosutinib (SKI-606)
10	S1014	Bosutinib (SKI-606)
10	S1014	Bosutinib (SKI-606)
10	S1014	Bosutinib (SKI-606)
10	S1014	Bosutinib (SKI-606)
100	S1014	Bosutinib (SKI-606)
100	S1014	Bosutinib (SKI-606)
100	S1014	Bosutinib (SKI-606)
100	S1014	Bosutinib (SKI-606)
100	S1014	Bosutinib (SKI-606)
100	S1014	Bosutinib (SKI-606)
1000	S1014	Bosutinib (SKI-606)
1000	S1014	Bosutinib (SKI-606)
1000	S1014	Bosutinib (SKI-606)
1000	S1014	Bosutinib (SKI-606)
1000	S1014	Bosutinib (SKI-606)
1000	S1014	Bosutinib (SKI-606)
10000	S1014	Bosutinib (SKI-606)
10000	S1014	Bosutinib (SKI-606)
10000	S1014	Bosutinib (SKI-606)
10000	S1014	Bosutinib (SKI-606)
10000	S1014	Bosutinib (SKI-606)
10000	S1014	Bosutinib (SKI-606)
10	S1017	Cediranib (AZD2171)
10	S1017	Cediranib (AZD2171)
10	S1017	Cediranib (AZD2171)
10	S1017	Cediranib (AZD2171)
10	S1017	Cediranib (AZD2171)
10	S1017	Cediranib (AZD2171)
100	S1017	Cediranib (AZD2171)
100	S1017	Cediranib (AZD2171)
100	S1017	Cediranib (AZD2171)
100	S1017	Cediranib (AZD2171)
100	S1017	Cediranib (AZD2171)
100	S1017	Cediranib (AZD2171)
1000	S1017	Cediranib (AZD2171)
1000	S1017	Cediranib (AZD2171)
1000	S1017	Cediranib (AZD2171)
1000	S1017	Cediranib (AZD2171)
1000	S1017	Cediranib (AZD2171)
1000	S1017	Cediranib (AZD2171)
10000	S1017	Cediranib (AZD2171)
10000	S1017	Cediranib (AZD2171)
10000	S1017	Cediranib (AZD2171)
10000	S1017	Cediranib (AZD2171)
10000	S1017	Cediranib (AZD2171)
10000	S1017	Cediranib (AZD2171)
10	S1021	Dasatinib
10	S1021	Dasatinib
10	S1021	Dasatinib
10	S1021	Dasatinib
10	S1021	Dasatinib
10	S1021	Dasatinib
100	S1021	Dasatinib
100	S1021	Dasatinib
100	S1021	Dasatinib
100	S1021	Dasatinib
100	S1021	Dasatinib
100	S1021	Dasatinib
1000	S1021	Dasatinib
1000	S1021	Dasatinib
1000	S1021	Dasatinib
1000	S1021	Dasatinib
1000	S1021	Dasatinib
1000	S1021	Dasatinib
10000	S1021	Dasatinib
10000	S1021	Dasatinib
10000	S1021	Dasatinib
10000	S1021	Dasatinib
10000	S1021	Dasatinib
10000	S1021	Dasatinib
10	S1028	Lapatinib (GW-572016) Ditosylate
