"Cell" "sample" "Size_Factor" "n.umi" "hash_umis" "pval" "qval" "top_to_second_best_ratio" "top_oligo"
"A01_A01_RT_384" "A01_A01_RT_384" "sciChem18" 0.480130671595627 1939 NA NA NA NA NA
"A01_A01_RT_389" "A01_A01_RT_389" "sciChem18" 0.305560210804025 1234 8 1 1 7 "Dex_0.1_BC07"
"A01_A01_RT_390" "A01_A01_RT_390" "sciChem18" 0.84932862484425 3430 16 1.40415877194804e-140 3.65081280706491e-139 15.0054644808743 "Nutlin_0.5_AB02"
"A01_A01_RT_396" "A01_A01_RT_396" "sciChem18" 1.61248629882967 6512 35 0 0 2.37916798983804 "Dex_50_BC10"
"A01_A01_RT_397" "A01_A01_RT_397" "sciChem18" 1.32574503131665 5354 15 5.48745417728066e-276 2.03035804559384e-274 5.7896138482024 "BMS_0.5_AH10"
"A01_A01_RT_400" "A01_A01_RT_400" "sciChem18" 0.786681353099179 3177 23 3.03526172688365e-222 9.40931135333932e-221 20.92 "Nutlin_0_AB04"
"A01_A01_RT_401" "A01_A01_RT_401" "sciChem18" 1.25864064142371 5083 69 0 0 1.8924830206055 "BMS_0.1_BH11"
"A01_A01_RT_402" "A01_A01_RT_402" "sciChem18" 3.4324762092102 13862 104 0 0 1.26278093356384 "Nutlin_10_AA03"
"A01_A01_RT_403" "A01_A01_RT_403" "sciChem18" 1.39062086213566 5616 248 0 0 234.884422110553 "SAHA_0.5_AF02"
"A01_A01_RT_404" "A01_A01_RT_404" "sciChem18" 0.433330931042985 1750 18 3.18003624815252e-24 5.40606162185928e-23 12 "Dex_0.5_BD10"
"A01_A01_RT_405" "A01_A01_RT_405" "sciChem18" 1.41538262962383 5716 64 0 0 1.0790825059911 "Dex_100_AC09"
"A01_A01_RT_406" "A01_A01_RT_406" "sciChem18" 0.428378577545351 1730 55 0 0 1.72406148389004 "BMS_0.1_AH03"
"A01_A01_RT_420" "A01_A01_RT_420" "sciChem18" 0.540549384266763 2183 12 0.000699346224414626 0.00489542357090238 5 "Dex_0.1_BD11"
"A01_A01_RT_424" "A01_A01_RT_424" "sciChem18" 0.863195214637626 3486 17 0.174053730435334 0.87026865217667 11 "Dex_1_AC05"
"A01_A01_RT_429" "A01_A01_RT_429" "sciChem18" 2.39520576913074 9673 69 0 0 1.37127947429455 "Dex_0_BC08"
"A01_A01_RT_432" "A01_A01_RT_432" "sciChem18" 3.41638106034289 13797 68 0 0 5.35913488901537 "BMS_0.5_BH10"
"A01_A01_RT_434" "A01_A01_RT_434" "sciChem18" 0.542282707990935 2190 12 0.000409890139888446 0.00327912111910757 9.57754010695187 "Nutlin_1_BB09"
"A01_A01_RT_436" "A01_A01_RT_436" "sciChem18" 0.639596454219446 2583 42 0 0 38.6834170854271 "Dex_50_BD06"
"A01_A01_RT_437" "A01_A01_RT_437" "sciChem18" 0.530397059596614 2142 2 3.46788117394735e-15 3.85523225291485e-14 1.01020408163265 "Nutlin_5_BA12"
"A01_A01_RT_443" "A01_A01_RT_443" "sciChem18" 1.0746607089866 4340 42 3.21269354409571e-15 3.85523225291485e-14 33 "SAHA_0.1_AF03"
"A01_A01_RT_444" "A01_A01_RT_444" "sciChem18" 1.11626047836673 4508 27 0 0 Inf "SAHA_0.1_BF03"
"A01_A01_RT_445" "A01_A01_RT_445" "sciChem18" 0.653958279362585 2641 28 0 0 27.8162162162162 "Dex_0_BC08"
"A01_A01_RT_449" "A01_A01_RT_449" "sciChem18" 0.65767254448581 2656 16 0 0 14.0928961748634 "Dex_5_AC04"
"A01_A01_RT_453" "A01_A01_RT_453" "sciChem18" 0.426892871496061 1724 28 0 0 22.929648241206 "Dex_1_AD01"
"A01_A01_RT_454" "A01_A01_RT_454" "sciChem18" 0.648015455165424 2617 9 1.63617136970974e-188 4.41766269821629e-187 5.09254498714653 "Nutlin_5_BA12"
"A01_A01_RT_459" "A01_A01_RT_459" "sciChem18" 0.665348692407143 2687 34 0 0 5.14874371859297 "BMS_0_BG08"
"A01_A01_RT_460" "A01_A01_RT_460" "sciChem18" 0.782967087975953 3162 13 2.12079881267676e-07 1.90871893140908e-06 12.8387096774194 "BMS_0.1_AG07"
"A01_A01_RT_464" "A01_A01_RT_464" "sciChem18" 0.527920882847796 2132 37 0 0 34.9070351758794 "SAHA_0_AF12"
"A01_A01_RT_468" "A01_A01_RT_468" "sciChem18" 0.845861977395907 3416 11 0 0 Inf "Nutlin_0.1_BB11"
"A01_A01_RT_472" "A01_A01_RT_472" "sciChem18" 0.551196944286677 2226 16 9.96443196750171e-222 2.98932959025051e-220 18.5723270440252 "Dex_10_AC11"
"A01_A01_RT_478" "A01_A01_RT_478" "sciChem18" 0.877309422105883 3543 37 0 0 32.535175879397 "Nutlin_0_AB04"
"A01_A01_RT_479" "A01_A01_RT_479" "sciChem18" 0.693824725018539 2802 25 1 1 Inf "SAHA_0.5_AE06"
"A01_A01_RT_483" "A01_A01_RT_483" "sciChem18" 1.68058115942214 6787 67 0 0 1.30886917960089 "Nutlin_0_AB12"
"A01_A01_RT_486" "A01_A01_RT_486" "sciChem18" 0.649996396564477 2625 23 1.04130037476744e-26 1.87434067458139e-25 17 "SAHA_0.5_AE06"
"A01_A01_RT_490" "A01_A01_RT_490" "sciChem18" 1.19698384037817 4834 51 0 0 45.7437185929648 "Nutlin_10_BA11"
"A01_A01_RT_496" "A01_A01_RT_496" "sciChem18" 0.904794984017752 3654 8 1.05005257412606e-21 1.68008411860169e-20 2.91959798994975 "SAHA_5_BE12"
"A01_A01_RT_502" "A01_A01_RT_502" "sciChem18" 0.67500578172753 2726 47 1.02980377295663e-19 1.54470565943494e-18 44 "Dex_1_AC05"
"A01_A01_RT_503" "A01_A01_RT_503" "sciChem18" 0.699519931540818 2825 15 0 0 17.2043343653251 "Dex_50_AC10"
"A01_A01_RT_513" "A01_A01_RT_513" "sciChem18" 0.896623600746656 3621 16 1.2810651798006e-195 3.58698250344167e-194 Inf "SAHA_0_AE08"
"A01_A01_RT_515" "A01_A01_RT_515" "sciChem18" 0.688624753846023 2781 24 8.93716470899649e-291 3.48549423650863e-289 21.6984924623116 "Nutlin_0.5_AB02"
"A01_A01_RT_519" "A01_A01_RT_519" "sciChem18" 1.32178314851854 5338 64 0 0 8.27973199329983 "Nutlin_0_BB04"
"A01_A01_RT_521" "A01_A01_RT_521" "sciChem18" 0.9813088455562 3963 13 0 0 8.96733668341709 "Dex_0.1_BD03"
"A01_A01_RT_527" "A01_A01_RT_527" "sciChem18" 1.24650737535451 5034 12 0 0 8.96984924623116 "SAHA_10_BE11"
"A01_A01_RT_529" "A01_A01_RT_529" "sciChem18" 1.44410627991011 5832 39 7.64618687973701e-276 2.75262727670532e-274 1.40057430007179 "Nutlin_0.5_AB10"
"A01_A01_RT_530" "A01_A01_RT_530" "sciChem18" 0.786186117749415 3175 5 4.80648246172388e-48 1.10549096619649e-46 2.01272264631043 "Nutlin_10_BB07"
"A01_A01_RT_534" "A01_A01_RT_534" "sciChem18" 0.556149297784311 2246 38 2.5688689959503e-224 8.22038078704095e-223 44.5527950310559 "Nutlin_10_AA03"
"A01_A01_RT_536" "A01_A01_RT_536" "sciChem18" 1.10214627089847 4451 63 0 0 58.8417085427136 "Dex_50_AC10"
"A01_A01_RT_543" "A01_A01_RT_543" "sciChem18" 0.322893448045744 1304 25 0 0 21.8743718592965 "BMS_5_BG12"
"A01_A01_RT_555" "A01_A01_RT_555" "sciChem18" 0.69110093059484 2791 23 0 0 19.9422110552764 "Nutlin_5_AA04"
"A01_A01_RT_564" "A01_A01_RT_564" "sciChem18" 0.826547798755134 3338 84 0 0 1.03041523406506 "Nutlin_0.5_AB10"
"A01_A01_RT_568" "A01_A01_RT_568" "sciChem18" 0.970166050186523 3918 74 0 0 1.10966542750929 "Nutlin_5_AB08"
"A01_A01_RT_570" "A01_A01_RT_570" "sciChem18" 0.986756434403597 3985 49 0 0 47.5075376884422 "BMS_0.1_BH11"
"A01_A01_RT_574" "A01_A01_RT_574" "sciChem18" 0.787671823798706 3181 39 0 0 33.7060301507538 "SAHA_5_AF08"
"A01_A01_RT_588" "A01_A01_RT_588" "sciChem18" 0.367712247199333 1485 29 0 0 29.0433604336043 "Dex_50_AD06"
"A01_A01_RT_589" "A01_A01_RT_589" "sciChem18" 1.22372654926539 4942 47 0 0 43.5276381909548 "BMS_0.5_AG06"
"A01_A01_RT_590" "A01_A01_RT_590" "sciChem18" 1.14151748120466 4610 92 0 0 1.80469547465124 "BMS_5_AG12"
"A01_A01_RT_591" "A01_A01_RT_591" "sciChem18" 0.569520652227923 2300 21 9.11235333838731e-275 3.18932366843556e-273 Inf "SAHA_0_AE08"
"A01_A01_RT_597" "A01_A01_RT_597" "sciChem18" 0.269160412596414 1087 13 0 0 10.9673366834171 "Dex_10_BC11"
"A01_A01_RT_605" "A01_A01_RT_605" "sciChem18" 0.265198529798307 1071 9 1 1 Inf "BMS_10_AG03"
"A01_A01_RT_606" "A01_A01_RT_606" "sciChem18" 0.618548951854501 2498 8 1.09809690305738e-56 2.74524225764344e-55 2.02030456852792 "Dex_1_BC05"
"A01_A01_RT_611" "A01_A01_RT_611" "sciChem18" 0.678967664525637 2742 62 0 0 57.5326633165829 "BMS_0_BG08"
"A01_A01_RT_613" "A01_A01_RT_613" "sciChem18" 1.11626047836673 4508 30 1.33366648610098e-09 1.33366648610098e-08 29.2010869565217 "SAHA_100_BF05"
"A01_A01_RT_614" "A01_A01_RT_614" "sciChem18" 2.386291532835 9637 96 7.49400530669743e-200 2.17326153894226e-198 3.03122619954303 "SAHA_0.1_AF03"
"A01_A01_RT_616" "A01_A01_RT_616" "sciChem18" 0.908014013791215 3667 46 0 0 2.89858382823207 "Dex_50_AD06"
"A01_A01_RT_618" "A01_A01_RT_618" "sciChem18" 0.839919153198746 3392 22 0 0 17.9447236180905 "Nutlin_0_BA08"
"A01_A01_RT_624" "A01_A01_RT_624" "sciChem18" 0.990965934876586 4002 11 0 0 Inf "Nutlin_1_BA05"
"A01_A01_RT_626" "A01_A01_RT_626" "sciChem18" 0.390245455613568 1576 21 0 0 20.0026525198939 "Dex_1_AD01"
"A01_A01_RT_627" "A01_A01_RT_627" "sciChem18" 0.943175723624417 3809 23 0 0 26.4741641337386 "BMS_0.5_AH10"
"A01_A01_RT_629" "A01_A01_RT_629" "sciChem18" 1.02761335075908 4150 25 6.09241922568604e-44 1.34033222965093e-42 1.37656722870731 "BMS_1_AH01"
"A01_A01_RT_634" "A01_A01_RT_634" "sciChem18" 0.4791402008961 1935 28 0.0530009350438015 0.318005610262809 34.2229299363057 "SAHA_0_BE08"
