,silh_score,method,factor
0,0.012630343437194824,bbknn,Batch
1,0.01121489331126213,bbknn,Batch
2,0.007188399322330952,bbknn,Batch
3,0.009400991722941399,bbknn,Batch
4,0.014241555705666542,bbknn,Batch
5,0.006577352527529001,bbknn,Batch
6,0.011444950476288795,bbknn,Batch
7,0.011562506668269634,bbknn,Batch
8,0.007077556103467941,bbknn,Batch
9,0.016215208917856216,bbknn,Batch
10,0.0027050760108977556,bbknn,Batch
11,0.01133002433925867,bbknn,Batch
12,0.01862594112753868,bbknn,Batch
13,0.007663628086447716,bbknn,Batch
14,0.010348041541874409,bbknn,Batch
15,0.011861462146043777,bbknn,Batch
16,0.009197886101901531,bbknn,Batch
17,0.01063839066773653,bbknn,Batch
18,0.006642133928835392,bbknn,Batch
19,0.011274355463683605,bbknn,Batch
20,0.01067183818668127,bbknn,Batch
21,-0.002203424461185932,bbknn,Batch
22,0.015002782456576824,bbknn,Batch
23,0.001896934350952506,bbknn,Batch
24,0.01263416651636362,bbknn,Batch
25,0.007033461704850197,bbknn,Batch
26,0.011550148949027061,bbknn,Batch
27,0.00781863834708929,bbknn,Batch
28,0.011335845105350018,bbknn,Batch
29,0.012491640634834766,bbknn,Batch
30,0.005425067152827978,bbknn,Batch
31,0.007945151999592781,bbknn,Batch
32,0.01472414005547762,bbknn,Batch
33,0.014059782959520817,bbknn,Batch
34,0.016522563993930817,bbknn,Batch
35,0.01100307796150446,bbknn,Batch
36,0.0034474104177206755,bbknn,Batch
37,0.01893317885696888,bbknn,Batch
38,0.009810400195419788,bbknn,Batch
39,0.018529381603002548,bbknn,Batch
40,0.00872439332306385,bbknn,Batch
41,0.01474463939666748,bbknn,Batch
42,0.009453153237700462,bbknn,Batch
43,0.010700229555368423,bbknn,Batch
44,0.014382462948560715,bbknn,Batch
45,0.0025969913695007563,bbknn,Batch
46,0.0068708485923707485,bbknn,Batch
47,-0.005069820675998926,bbknn,Batch
48,0.006031338591128588,bbknn,Batch
49,0.007847924716770649,bbknn,Batch
50,0.004944875370711088,bbknn,Batch
51,0.0024133753031492233,bbknn,Batch
52,0.0016675683436915278,bbknn,Batch
53,-0.0013237972743809223,bbknn,Batch
54,0.00022788974456489086,bbknn,Batch
55,0.0020407740958034992,bbknn,Batch
56,0.003406038274988532,bbknn,Batch
57,0.009149429388344288,bbknn,Batch
58,0.003750738687813282,bbknn,Batch
59,0.00043780150008387864,bbknn,Batch
60,-0.004459122661501169,bbknn,Batch
61,0.003401282010599971,bbknn,Batch
62,0.005914465524256229,bbknn,Batch
63,0.006663700100034475,bbknn,Batch
64,0.005750163458287716,bbknn,Batch
65,0.0041979472152888775,bbknn,Batch
66,0.0003189321723766625,bbknn,Batch
